Time,SST
20030301,-1.03
20030302,-1.07
20030303,-1.27
20030304,-1.36
20030305,-1.4
20030306,-1.4
20030307,-1.38
20030308,-1.49
20030309,-1.55
20030310,-1.49
20030311,-1.49
20030312,-1.55
20030313,-1.59
20030314,-1.65
20030315,-1.7
20030316,-1.69
20030317,-1.73
20030318,-1.74
20030319,-1.78
20030320,-1.79
20030321,-1.79
20030322,-1.78
20030323,-1.78
20030324,-1.75
20030325,-1.72
20030326,-1.74
20030327,-1.77
20030328,-1.78
20030329,-1.78
20030330,-1.77
20030331,-1.78
20030401,-1.76
20030402,-1.72
20030403,-1.72
20030404,-1.62
20030405,-1.63
20030406,-1.64
20030407,-1.58
20030408,-1.61
20030409,-1.62
20030410,-1.62
20030411,-1.63
20030412,-1.53
20030413,-1.48
20030414,-1.47
20030415,-1.25
20030416,-1.26
20030417,-1.23
20030418,-1.27
20030419,-1.35
20030420,-1.37
20030421,-1.4
20030422,-1.32
20030423,-1.19
20030424,-0.74
20030425,-0.5
20030426,-0.33
20030427,-0.15
20030428,-0.23
20030429,-0.07
20030430,-0.03
20030501,-0.01
20030502,0.99
20030503,0.81
20030504,0.69
20030505,0.31
20030506,0.19
20030507,0.57
20030508,0.84
20030509,0.98
20030510,1.13
20030511,1.32
20030512,1.33
20030513,1.42
20030514,1.49
20030515,1.61
20030516,2.13
20030517,2.18
20030518,2.23
20030519,1.99
20030520,1.71
20030521,1.98
20030522,1.99
20030523,2.09
20030524,2.32
20030525,2.63
20030526,2.81
20030527,2.45
20030528,2.39
20030529,2.83
20030530,3.31
20030531,3.88
20030601,4.68
20030602,4.97
20030603,4.97
20030604,5.21
20030605,5.32
20030606,7.03
20030607,7.36
20030608,7.31
20030609,7.13
20030610,6.93
20030611,7.06
20030612,7
20030613,4.91
20030614,5.61
20030615,5.87
20030616,5.82
20030617,5.53
20030618,6.36
20030619,6.7
20030620,6.58
20030621,6.79
20030622,6.96
20030623,6.99
20030624,7.95
20030625,8.54
20030626,8.98
20030627,9.51
20030628,9.3
20030629,8.37
20030630,7.46
20030701,5.86
20030702,5.8
20030703,6.04
20030704,6.66
20030705,7.33
20030706,7.68
20030707,8.25
20030708,8.18
20030709,8.34
20030710,8.27
20030711,8.45
20030712,8.23
20030713,8.44
20030714,8.83
20030715,8.98
20030716,8.91
20030717,8.76
20030718,8.72
20030719,8.82
20030720,8.84
20030721,8.51
20030722,8.45
20030723,8.89
20030724,9.01
20030725,9.28
20030726,9.84
20030727,9.88
20030728,10.14
20030729,10.15
20030730,10.36
20030731,10.41
20040301,-1.63
20040302,-1.53
20040303,-1.49
20040304,-1.42
20040305,-1.53
20040306,-1.53
20040307,-1.7
20040308,-1.78
20040309,-1.77
20040310,-1.74
20040311,-1.69
20040312,-1.75
20040313,-1.7
20040314,-1.68
20040315,-1.66
20040316,-1.73
20040317,-1.77
20040318,-1.78
20040319,-1.75
20040320,-1.75
20040321,-1.71
20040322,-1.67
20040323,-1.67
20040324,-1.63
20040325,-1.59
20040326,-1.68
20040327,-1.7
20040328,-1.73
20040329,-1.78
20040330,-1.8
20040331,-1.8
20040401,-1.79
20040402,-1.76
20040403,-1.74
20040404,-1.72
20040405,-1.66
20040406,-1.57
20040407,-1.57
20040408,-1.51
20040409,-1.36
20040410,-1.35
20040411,-1.4
20040412,-1.4
20040413,-1.45
20040414,-0.66
20040415,-0.6
20040416,-0.6
20040417,-0.49
20040418,-0.54
20040419,-0.65
20040420,-0.69
20040421,-0.57
20040422,-0.6
20040423,-0.62
20040424,-0.69
20040425,-0.74
20040426,-0.49
20040427,-0.23
20040428,0.28
20040429,0.01
20040430,-0.26
20040501,-0.22
20040502,0.56
20040503,0.62
20040504,0.46
20040505,0.07
20040506,0.03
20040507,0.19
20040508,0.39
20040509,0.59
20040510,0.61
20040511,1.04
20040512,1.33
20040513,1.72
20040514,1.71
20040515,1.15
20040516,1.66
20040517,1.72
20040518,1.6
20040519,1.95
20040520,2.14
20040521,2.06
20040522,1.8
20040523,1.7
20040524,1.67
20040525,1.71
20040526,1.89
20040527,2.21
20040528,2.5
20040529,2.77
20040530,2.9
20040531,2.98
20040601,3.02
20040602,3.44
20040603,4.25
20040604,4.61
20040605,4.91
20040606,4.51
20040607,3.99
20040608,3.8
20040609,7.06
20040610,6.98
20040611,6.96
20040612,6.7
20040613,6.69
20040614,6.62
20040615,6.42
